Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.01     0.00       25     0.00     0.00  std::vector<datapoint*, std::allocator<datapoint*> >::empty() const
  0.00      0.01     0.00       24     0.00     0.00  myheap::revert()
  0.00      0.01     0.00       21     0.00     0.00  __gnu_cxx::__normal_iterator<datapoint* const*, std::vector<datapoint*, std::allocator<datapoint*> > >::difference_type __gnu_cxx::operator-<datapoint* const*, datapoint* const*, std::vector<datapoint*, std::allocator<datapoint*> > >(__gnu_cxx::__normal_iterator<datapoint* const*, std::vector<datapoint*, std::allocator<datapoint*> > > const&, __gnu_cxx::__normal_iterator<datapoint* const*, std::vector<datapoint*, std::allocator<datapoint*> > > const&)
  0.00      0.01     0.00       21     0.00     0.00  std::vector<datapoint*, std::allocator<datapoint*> >::size() const
  0.00      0.01     0.00       21     0.00     0.00  void std::swap<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**>(__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**&, __gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >**&)
  0.00      0.01     0.00       19     0.00     0.00  std::_Vector_base<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<std::string const, int> >*> >::_M_get_Tp_allocator()
  0.00      0.01     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > > std::__copy_normal<true, true>::copy_n<__gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > > >(__gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >)
  0.00      0.01     0.00       14     0.00     0.00  datapoint** std::__copy<true, std::random_access_iterator_tag>::copy<datapoint*>(datapoint* const*, datapoint* const*, datapoint**)
  0.00      0.01     0.00       14     0.00     0.00  std::vector<datapoint*, std::allocator<datapoint*> >::end()
  0.00      0.01     0.00       14     0.00     0.00  datapoint** std::__copy_aux<datapoint**, datapoint**>(datapoint**, datapoint**, datapoint**)
  0.00      0.01     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > > std::uninitialized_copy<__gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > > >(__gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >)
  0.00      0.01     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > > std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, datapoint*>(__gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, __gnu_cxx::__normal_iterator<datapoint**, std::vector<datapoint*, std::allocator<datapoint*> > >, std::allocator<datapoint*>)
